Date opération;Libellé opération;Montant;Devise
13/10/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-LFQOAEOH3362RUZG5CJDVKHVT3EBL;332,1;EUR
06/10/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-KCBXRNNY23GSPBSPXRT26LNZZNA4Z;163,18;EUR
03/10/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-LVWIFCR7VZIGDBVHYXFAHV35XMUD2;57,54;EUR
02/10/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-6SIFJYGKG7CYJKJXD7HZODK7E2M6G;99,29;EUR
03/09/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-JMAJR6IMCGGMWD7ZJZU7ATQ3LZEH2;11,03;EUR
03/09/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-6RLYHSQE2X3IR5MLQWJDHSJN4YBMF;1842,46;EUR
28/08/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-GDAB72AOIY4ALDG25VWFAILNZQWMM;337,4;EUR
22/08/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-CVL6XRPB6LH2K74BRB2WBLXPFR4UQ;567,8;EUR
18/08/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-OCLZRUKG6LBE2DJ4OI7OPXMFJIPKG;421,27;EUR
13/08/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-XO2DGFEWJKUM73V54TYGLFNUVWZQC;522,49;EUR
11/08/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-GY5FOBT3PYJBBM6B2DHYMQZPMIS32;280,52;EUR
04/08/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-RYYATAG5V4SWUG3OFCWUTFIS4PJ23;519,6;EUR
30/07/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-RTDUOSQ5QF3UYVO4V4NVYVBW43ZIN;292,09;EUR
24/07/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-TCL4W3ECGHEEFUBGJCVJ237ODDXSI;385,6;EUR
21/07/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-UE47H6XN47TAD633UWW2LTP67WRC2;248,71;EUR
17/07/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-NQ2PC6FRAIEMTBK3SZDEHCAM7TWKJ;233,29;EUR
14/07/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-OAYTO6SPRTFFHLPKNMZH7D55N5Z27;320,05;EUR
09/07/2025;VIR TOTALENERGIES ELECTRICIT 0115100220-223903886497;70,28;EUR
08/07/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-NMT6T3TJA6T47FAKGJSJYXPQ6WALX;181,23;EUR
03/07/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-IKXUL3DJYSHPERMFWGVOQPHQQ4EQX;227,5;EUR
30/06/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-7GPA5JQMQA2RU44K5TYBXZTUWR42S;191,84;EUR
19/06/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-2M645J6E5GLREETPWKLWRAZGFMSIW;643,95;EUR
13/06/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-WEAVXECBSWWNMP5SYEKLTZWZIMFWM;443,44;EUR
06/06/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-2MDXHCWAZJ43HULDES2JEL5HBEYBR;643,95;EUR
30/05/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-JGQAE2GI5HL6EV3PVKTEIPEJLFF5W;475,25;EUR
26/05/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-AYY5BXBJPCSU4OLECFE2N3WDFBWXA;327,76;EUR
26/05/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-4HQDADDUQIJZJ7QGNS65UQSOJCPAV;226,54;EUR
19/05/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-F3N5PT4R7Y36ZY4ICXXVZCALJCQTN;183,16;EUR
12/05/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-7CUOQFKWQIF64D56BBJFYSLZEZYIT;353,79;EUR
05/05/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-WFY3TONZWUUHSYINX7VCB4JUASXEF;347,03;EUR
28/04/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-SQPA6RMUYQUETLKCPXNJ5H7OPF6RT;242,93;EUR
22/04/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-HBF2PDJ56OOYQRDYZHIOCB5WEVMRZ;378,85;EUR
16/04/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-GNPGC7EYHFMW5V6KJ52LGQQJFDY3E;396,2;EUR
13/03/2025;VIR INST MR VICTOR BRIAND   5072082841681338;1000;EUR
03/03/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-HKS5N7DSDGBQD6Y3VVIPL3MPI4RLK;136,89;EUR
25/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-2BGMPBB47JXJYQ3KSXK3DMMACQVS6;62,25;EUR
24/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-5TWH5ICV2GAVEMGWDCVSXQSCRCFYS;21,62;EUR
20/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-TYVC4KM6BHBVVXDS2AUZHM3J4T4LM;142,67;EUR
17/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-LL6EHIGJSAODZ2TXPBCTYLURCW4GS;136,89;EUR
12/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-TENAWVEHJL32C2GVM3HCGWNYEEDYO;77,12;EUR
10/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-F5KECJPCC3PY7ZITY4KBQJ4LVJF77;196,66;EUR
05/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-YO3ZXTWPIR42KOO6HQCC6LFUOSRPY;124,36;EUR
03/02/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-DSFUDMZAN5NGOY7FDEUUGF2SD2UV4;183,16;EUR
27/01/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-3FJYRF7FYZAQPR43Q5OA4QJIC63F7;118,58;EUR
21/01/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-UQIT5TCEOGBNNDBPN4DASPS2QSJRZ;72,3;EUR
02/01/2025;VIR AIRBNB PAYMENTS LUXEMBOU G-FAJETV3YMRTIB6RRMJDHPBQ4BCCID;267,99;EUR
